epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,10319,1.31922,1.07909,1.17881,0.83271,0.73234,0.82717,0.57476,1.30182,1.05931,1.16805,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,11629.6,1.31861,1.07059,1.17741,0.83183,0.73295,0.8274,0.57471,1.30215,1.04861,1.16746,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,12937.1,1.31418,1.07054,1.17681,0.83268,0.73132,0.82742,0.5748,1.29803,1.04338,1.16562,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,14255.3,1.31562,1.06204,1.17413,0.83501,0.73154,0.82853,0.5752,1.29949,1.0336,1.16375,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,15566.2,1.31175,1.06161,1.17714,0.83332,0.73317,0.82906,0.57534,1.29907,1.02713,1.1643,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,16900.5,1.3103,1.0619,1.17517,0.83699,0.73278,0.82961,0.57566,1.29868,1.02121,1.1652,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,18199.4,1.30605,1.05747,1.17353,0.83376,0.73644,0.83038,0.57605,1.29691,1.01932,1.16387,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,19494.6,1.30578,1.05156,1.17213,0.83302,0.73589,0.82969,0.57618,1.29698,1.01655,1.16307,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,20798.6,1.30699,1.04821,1.17122,0.83243,0.73789,0.82978,0.57651,1.29611,1.01317,1.1626,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,22154.6,1.30252,1.04735,1.17026,0.83521,0.73506,0.83014,0.57635,1.29853,1.01105,1.16249,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,23455.5,1.30115,1.04838,1.17078,0.83406,0.7383,0.83017,0.57634,1.29857,1.01158,1.16171,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,24749.6,1.30077,1.04102,1.17195,0.83616,0.73904,0.83126,0.57703,1.29991,1.00892,1.1625,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,26056.3,1.29962,1.04101,1.16965,0.83513,0.73979,0.83185,0.57708,1.30093,1.00604,1.16301,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,27373.1,1.29568,1.03708,1.1681,0.83568,0.74193,0.83306,0.5782,1.29997,1.00384,1.16271,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,28687.9,1.29896,1.03848,1.1685,0.83738,0.74178,0.83374,0.57877,1.3015,1.00042,1.16326,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,30005.3,1.29397,1.03525,1.16565,0.83301,0.7456,0.83398,0.57933,1.30005,1.0033,1.161,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,31311.6,1.2929,1.02482,1.16488,0.83565,0.74368,0.83414,0.5794,1.29822,1.00219,1.16086,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,32616.6,1.28914,1.02753,1.16345,0.83525,0.74077,0.83316,0.57821,1.29841,1.00559,1.16009,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,33925.8,1.2895,1.0343,1.16641,0.8384,0.73922,0.83252,0.57767,1.29877,1.00575,1.16071,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,35239.4,1.28744,1.02473,1.16542,0.83584,0.73744,0.83186,0.57739,1.298,1.00496,1.16167,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,36561.7,1.28879,1.02055,1.16341,0.83904,0.7393,0.83294,0.57854,1.29873,1.00284,1.16304,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,37871.5,1.28388,1.0245,1.16283,0.83678,0.74245,0.83344,0.57864,1.30104,1.00298,1.16262,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,39190.2,1.28319,1.01747,1.1619,0.83692,0.74104,0.83381,0.57911,1.304,1.0008,1.16449,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,40506,1.28313,1.01968,1.16011,0.84055,0.73814,0.83374,0.57865,1.30571,1.00195,1.16636,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,41816.7,1.27936,1.01415,1.16311,0.83729,0.74006,0.83393,0.57878,1.30778,0.99827,1.16772,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,43131.8,1.27691,1.01425,1.1614,0.83676,0.74153,0.83456,0.57923,1.3077,0.99588,1.16805,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,44374.4,1.27541,1.00734,1.15943,0.83724,0.74371,0.83504,0.57923,1.30617,0.99352,1.16882,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,45592.9,1.27247,1.00176,1.15672,0.83813,0.74395,0.83535,0.57913,1.30711,0.99357,1.16886,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,46816.9,1.27193,0.99814,1.15693,0.84106,0.74393,0.83644,0.58003,1.30551,0.99274,1.16712,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,48040.5,1.27107,0.99743,1.15389,0.84106,0.74492,0.83706,0.58047,1.3072,0.98875,1.16784,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,49324.4,1.26947,0.99998,1.15466,0.84077,0.74566,0.8376,0.58115,1.30608,0.98664,1.16774,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,50612.7,1.27,0.98841,1.15549,0.8462,0.74274,0.83784,0.58141,1.30646,0.98275,1.16823,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,51904.8,1.26628,0.99082,1.15274,0.84426,0.7423,0.83747,0.58146,1.30486,0.98306,1.16794,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,53190.5,1.26339,0.98444,1.15117,0.84459,0.74331,0.83809,0.58182,1.30612,0.98214,1.168,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,54492.6,1.2645,0.99047,1.15193,0.8441,0.7449,0.83872,0.58258,1.30617,0.98063,1.16766,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
